delta t (sec),Ground Acceleration (in G)
0.01,-.2098335E-03
0.02,-.2108988E-03
0.03,-.2119629E-03
0.04,-.2130240E-03
0.05,-.2140826E-03
0.06,-.2151421E-03
0.07,-.2161973E-03
0.08,-.2172531E-03
0.09,-.2183025E-03
0.1,-.2193489E-03
0.11,-.2203825E-03
0.12,-.2214097E-03
0.13,-.2224521E-03
0.14,-.2235475E-03
0.15,-.2246843E-03
0.16,-.2258107E-03
0.17,-.2268653E-03
0.18,-.2278356E-03
0.19,-.2287625E-03
0.2,-.2297006E-03
0.21,-.2306260E-03
0.22,-.2314670E-03
0.23,-.2322100E-03
0.24,-.2331481E-03
0.25,-.2347237E-03
0.26,-.2367895E-03
0.27,-.2385097E-03
0.28,-.2397294E-03
0.29,-.2412689E-03
0.3,-.2428257E-03
0.31,-.2434100E-03
0.32,-.2427286E-03
0.33,-.2411379E-03
0.34,-.2393458E-03
0.35,-.2387254E-03
0.36,-.2402784E-03
0.37,-.2438735E-03
0.38,-.2483426E-03
0.39,-.2524809E-03
0.4,-.2536941E-03
0.41,-.2497804E-03
0.42,-.2465554E-03
0.43,-.2570209E-03
0.44,-.2839183E-03
0.45,-.3195094E-03
0.46,-.3502711E-03
0.47,-.3650169E-03
0.48,-.3557990E-03
0.49,-.3065004E-03
0.5,-.2148004E-03
0.51,-.1016315E-03
0.52,-.2622021E-04
0.53,-.4726913E-04
0.54,-.1461608E-03
0.55,-.2623157E-03
0.56,-.3506790E-03
0.57,-.3825684E-03
0.58,-.3623209E-03
0.59,-.3437803E-03
0.6,-.3701745E-03
0.61,-.3907211E-03
0.62,-.3389251E-03
0.63,-.2579054E-03
0.64,-.1931967E-03
0.65,-.8793504E-04
0.66,.1789168E-04
0.67,.3176843E-04
0.68,-.4867046E-04
0.69,-.1619837E-03
0.7,-.2539703E-03
0.71,-.3132308E-03
0.72,-.3618743E-03
0.73,-.4272949E-03
0.74,-.5220180E-03
0.75,-.6415016E-03
0.76,-.7740012E-03
