delta t (sec),Ground Acceleration (in G)
0.01,-.1717737E-03
0.02,-.1706709E-03
0.03,-.1695650E-03
0.04,-.1684601E-03
0.05,-.1673513E-03
0.06,-.1662442E-03
0.07,-.1651337E-03
0.08,-.1640250E-03
0.09,-.1629143E-03
0.1,-.1617874E-03
0.11,-.1606344E-03
0.12,-.1594343E-03
0.13,-.1582482E-03
0.14,-.1571898E-03
0.15,-.1563056E-03
0.16,-.1554855E-03
0.17,-.1544386E-03
0.18,-.1531498E-03
0.19,-.1516941E-03
0.2,-.1503076E-03
0.21,-.1491023E-03
0.22,-.1478955E-03
0.23,-.1466517E-03
0.24,-.1456653E-03
0.25,-.1452143E-03
0.26,-.1448125E-03
0.27,-.1440581E-03
0.28,-.1442253E-03
0.29,-.1448011E-03
0.3,-.1429485E-03
0.31,-.1386874E-03
0.32,-.1355057E-03
0.33,-.1333624E-03
0.34,-.1300304E-03
0.35,-.1249386E-03
0.36,-.1228585E-03
0.37,-.1261279E-03
0.38,-.1340151E-03
0.39,-.1438183E-03
0.4,-.1446336E-03
0.41,-.1312951E-03
0.42,-.1096429E-03
0.43,-.9360989E-04
0.44,-.8859369E-04
0.45,-.9389344E-04
0.46,-.1122190E-03
0.47,-.1402358E-03
0.48,-.1638904E-03
0.49,-.1562296E-03
0.5,-.1121368E-03
0.51,-.6011062E-04
0.52,-.5521718E-04
0.53,-.1052740E-03
0.54,-.1494301E-03
0.55,-.1464224E-03
0.56,-.1273801E-03
0.57,-.1174509E-03
0.58,-.1121950E-03
0.59,-.1004884E-03
0.6,-.1061327E-03
0.61,-.1682434E-03
0.62,-.2624092E-03
0.63,-.3370273E-03
0.64,-.3875778E-03
0.65,-.3818237E-03
0.66,-.2920348E-03
0.67,-.1483996E-03
0.68,-.2970957E-04
0.69,-.5055371E-04
0.7,-.2196648E-03
0.71,-.4234363E-03
0.72,-.4882923E-03
0.73,-.3655092E-03
0.74,-.1673007E-03
0.75,-.2083537E-03
0.76,-.6085036E-03
0.77,-.9654080E-03
0.78,-.1004649E-02
0.79,-.8350799E-03
0.8,-.5691776E-03
0.81,-.1682380E-03
0.82,.1442445E-03
0.83,-.1079004E-03
0.84,-.9227281E-03
0.85,-.1938822E-02
0.86,-.2776746E-02
0.87,-.2708183E-02
0.88,-.1385199E-02
0.89,.3258937E-03
0.9,.1005272E-02
0.91,.4732363E-03
0.92,-.6379853E-03
0.93,-.1729290E-02
0.94,-.2519277E-02
0.95,-.3085099E-02
0.96,-.3571746E-02
0.97,-.3321971E-02
0.98,-.1916721E-02
0.99,.1590279E-03
1,.1836991E-02
1.01,.2413246E-02
1.02,.2509827E-02
1.03,.2029618E-02
1.04,.6795785E-03
1.05,-.1180587E-02
1.06,-.2545858E-02
1.07,-.2639721E-02
1.08,-.2498013E-02
1.09,-.3285560E-02
1.1,-.5117587E-02
1.11,-.7340540E-02
1.12,-.7789098E-02
1.13,-.3918078E-02
1.14,.3225440E-02
1.15,.8621997E-02
1.16,.8373861E-02
1.17,.3827684E-02
1.18,-.1310246E-02
1.19,-.4186960E-02
1.2,-.3355732E-02
1.21,-.6275616E-03
1.22,.1178638E-02
1.23,.1173945E-02
1.24,-.6756604E-03
1.25,-.3121490E-02
1.26,-.3463585E-02
1.27,-.1119676E-02
1.28,.1950081E-02
1.29,.5227117E-02
1.3,.8356798E-02
1.31,.8889177E-02
1.32,.5865694E-02
1.33,.1084335E-02
1.34,-.1674545E-02
1.35,.1219519E-02
1.36,.6861378E-02
1.37,.1002791E-01
1.38,.8831197E-02
1.39,.6195084E-02
1.4,.5201594E-02
1.41,.7441793E-02
1.42,.9449925E-02
1.43,.6640603E-02
1.44,-.2790153E-03
1.45,-.3836872E-02
1.46,.6086346E-03
1.47,.8937001E-02
1.48,.1277491E-01
1.49,.9498860E-02
1.5,.2474368E-02
1.51,-.3906598E-02
1.52,-.6747047E-02
1.53,-.2526610E-02
1.54,.5431698E-02
1.55,.1146612E-01
1.56,.1129080E-01
1.57,.5009171E-02
1.58,-.3107060E-02
1.59,-.6697214E-02
1.6,-.1914273E-02
